You are (a):,What is the name of the company you work in?,What is your position at the university you are working in?,What are you studying?,Which academical institution are you affiliated with?,Academia/Industry/Other?,Are you a member of the Norwegian Chemical Society?,Can you briefly explain why you are a member in the Norwegian Chemical Society?,"When was the last time you read the publication ""Kjemi""?","On a scale from 1-5, how interesting do you find the publication ""Kjemi"" is for you?
",Are you familiar with the Norwegian Chemical Society?,"On a scale from 1 -5, how interested would you be in joining the Norwegian Chemical Society?","If you answered 3 or lower in the last question, could you give a brief description to why? 
","Are you familiar with any of the offers of events, courses, etc. in your local area/for your area of interest which the Norwegian Chemical Society offers? If yes, which are you familiar with?",When did you last attend an event hosted by the Norwegian Chemical Society?,What do you believe to be the reason you have not gone to a Norwegian Chemical Society-event?,"On a scale from 1-5, how interested are you in: scientific talks about chemistry or chemistry-related topics","If you answered 4 or higher on the last question, are there any particular topics you would like to hear more about?","On a scale from 1-5, how interested are you in: visits to chemistry-related businesses?","If you answered 4 or higher on the last question, are there any particular businesses you would like to visit?","On a scale from 1-5, how interested are you in: crash-courses for specific courses?","On a scale from 1-5, how interested are you in courses/workshop in how to present, write a job application, etc.?","On a scale from 1-5, how interested are you in introduction/mid-level courses in software relevant to chemistry/research-related topics?","On a scale from 1-5, how interested are you in non-chemistry related social events","If you answered 4 or higher on the last question, what kind of events would you be interested in?",Any other events you would suggest that the Norwegian Chemical Society could host?,Any other events you would suggest that the Norwegian Chemical Society could host?,Which format do you prefer to attend events in? (You can choose multiple options),Which of the following formats do you think would be interesting to see from the Norwegian Chemical Society? (You can select multiple answers),How would you like to be informed about future events from the Norwegian Chemical Society?,Which day of the week would be the best option for you to attend an event hosted by the Norwegian Chemical Society? (You can select multiple options),When do you think is the best time for an event from the Norwegian Chemical Society to start?,"On a scale from 1 to 5, how strongly do you identify yourself as a chemist?","On a scale from 1 to 5, how relevant do you feel the Norwegian Chemical Society is for you?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with Norwegian Chemical Society logo?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with a design that shows your interest in chemistry?","If you answered 3 or higher on the previous question(s), what do you think would be a fair price (in NOK) for a t-shirt with such a design on it?",Is there something you like about the Norwegian Chemical Society?,Is there something you do not like about the Norwegian Chemical Society?,Is there anything you would like to add? 
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,3,,5,,5,3,3,3,,,,Fysisk / In-person,Instagram (chemistry content),"Facebook, Instagram, Posters at my faculty","Lørdag / Saturday, Søndag / Sunday",2:00:00 PM,3,5,5,5,,(Seem to be) relevant,Not familiar with the organization,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,No,4,,,Never,Was not informed about the event,4,"Uorganisk kjemi, industriell kjemi",5,"Hydro, equinor, aker-bp, Bergen vann, boliden",5,5,5,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Facebook, Instagram, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",3:00:00 PM,4,3,3,3,100,(Seem to be) relevant,,
University employee,,(Assoc.) Professor,,UiS,Academia,Member,Informed about recent development,More than 3 years ago,4,,,,,1-3 years ago,,4,Kjemi knyttet mot industri samt tilgrensende fagområder/Anvendt kjemi,5,Innen fornybar energi,3,3,3,4,Bedrift,"Batteridagen, jfr arrangemnt ved UiS",,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",6:00:00 PM,5,5,1,2,,"Be informed, Community",Should be more approachable,"Increase visibility, Increase activity, Increase visibility"
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,Yes,2,Not familiar with the benefits,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",5,,5,,5,4,5,2,,,,Fysisk / In-person,Instagram (chemistry content),Posters at my faculty,Ingen preferanse / No preferance for day,,5,2,5,5,150,Don't know much yet,Do not care about recruiting students,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",4,Åpen for det meste ,5,For eksempel Equinor og norsk Hydro ,5,5,5,4,Spesifikke forslag,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Facebook, Instagram",Ingen preferanse / No preferance for day,5:45:00 PM,4,3,5,5,500,Don't know much yet,,
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",3,,4,nei men det hadde vært kult å få vite hvordan det ser ut å jobbe som kjemiker,4,5,4,3,,ikke som jeg kan komme på,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Facebook, Instagram, Posters at my faculty",Søndag / Sunday,4:00:00 PM,3,2,4,5,300,Don't know much yet,Not familiar,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,4,,5,,5,5,4,3,Nettverking/Sosialt,Kjemirelaterte bedriftsmesser ,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Website, Instagram, Posters at my faculty",Torsdag / Thursday,12:00:00 PM,3,5,4,5,200,Don't know much yet,,
Employed in industry,Borregaard,,,,Industry,Member,"Events, Conferences, Community, Informed about recent development, Networking",This year,4,,,,Conferences/Meetings,1-3 years ago,,5,,5,,2,1,1,1,,,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,5,4,3,5,250,Events/Lectures,Low activity,
University employee,,(Assoc.) Professor,,Western Norway University of Applied Sciences,Academia,Member,"Events, Community, Networking",This year,4,,,,,1-3 years ago,,5,,5,"DNV, BSC, TiOTech, Corvus, Stord, Steen-Hansen, Alma, Clara, ...",5,4,5,4,Spesifikke forslag,Chemistry Science Slam ,,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Website, Facebook, Instagram, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",4:00:00 PM,5,4,3,3,250,Events/Lectures,Low activity,
Employed in industry,Yara Norge,,,,Industry,Member,"Events, Community, Networking",1-3 years ago,2,,,,"Conferences/Meetings, Juleavslutning",1-3 years ago,,5,,5,"Prosesskjemi, petrokjemisk",4,2,3,2,,Ølbrygging,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Facebook","Mandag / Monday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,4,4,3,4,200,Events/Lectures,Geriatric,Bedrifter
